,number of cases,City,location_ENG,Population at Year-end (10000 persons),Natural growth rate (‰),"Number of employees at the end of the year (10,000 Yuan)",Average annual salary per urban employee ( Yuan),Population density (person / square kilometer),Per Capita GDP(yuan),Secondary industry as percentage to GDP,Service Sector as Percentage to GRP,Number of theaters,Collections of public libraries (100 people),province
84,2,攀枝花市,"('Panzhihua', 'Sichuan')",110.11200000000001,3.9019999999999997,28.16098,70265.962,150.575,83094.0,69.36,27.2675,6.0,75.565,Sichuan
85,2,新乡市,"('Xinxiang', 'Henan')",774.2980968217284,8.019193447242799,74.33034624518847,49977.06631049745,769.1097688296296,44358.74461492148,48.639861188477376,39.13748065843621,11.033585514403292,23.893244747325102,Henan
86,2,新余市,"('Xinyu', 'Jiangxi')",123.364,9.395999999999997,13.57102,56670.16,387.505,83605.25,53.81,40.3225,2.0,52.615,Jiangxi
87,2,晋城市,"('Jincheng', 'Shanxi')",328.8213707937476,4.816819658249928,46.15586891124321,57358.16816494777,289.39125158766456,45474.268658233,46.48499602025437,47.018457298176095,13.325238361360904,58.43958915476977,Shanxi
88,2,来宾市,"('Laibin', 'Guangxi')",267.64799999999997,10.38,13.035480000000002,56167.554,198.485,27850.8,38.0975,37.5175,7.0,30.175,Guangxi
89,2,枣庄市,"('Zaozhuang', 'Shandong')",412.61399999999986,10.386,43.883759999999995,54483.662000000004,886.645,55918.0,52.2575,40.455,8.0,33.635,Shandong
90,2,株洲市,"('Zhuzhou', 'Hunan')",401.80400000000003,5.267999999999999,44.41406,61498.922,354.455,60775.6,53.2875,39.1175,16.0,36.365,Hunan
91,2,毕节市,"('Bijie', 'Guizhou')",530.6399166666667,12.759166666666669,40.741605833333324,68469.92541666667,327.0091666666667,38666.066666666666,39.21833333333334,45.699444444444445,10.166666666666666,63.7375,Guizhou
92,2,池州市,"('Chizhou', 'Anhui')",161.642,4.538,10.836319999999999,56797.70200000001,193.54,41048.6,44.835,42.8575,7.0,26.875,Anhui
93,2,沧州市,"('Cangzhou', 'Hebei')",800.5852580000001,7.5651639999999984,61.85910348000001,57003.91023200001,567.990245,42263.40831,46.45276750000001,41.6049675,14.118,24.486645,Hebei
94,2,河源市,"('Heyuan', 'Guangdong')",370.142,14.576000000000002,27.6349,56909.45400000001,233.58,28800.6,43.66749999999999,45.1,5.0,21.995,Guangdong
95,2,海口市,"('Haikou', 'Hainan')",169.22,10.706,50.92388,63161.30800000001,719.96,57284.6,19.0025,76.145,9.0,77.47,Hainan
96,2,淮北市,"('Huaibei', 'Anhui')",216.76,11.314,22.78546,57895.59199999999,788.5799999999998,38486.0,58.1675,34.39,5.0,40.725,Anhui
97,2,湛江市,"('Zhanjiang', 'Guangdong')",832.7919999999999,9.696000000000002,51.87898,56681.424000000006,619.11,35916.0,38.0,43.2225,23.0,19.47,Guangdong
98,2,烟台市,"('Yantai', 'Shandong')",653.9359999999998,0.828,102.7241,64113.34199999999,471.56,98032.8,50.89999999999999,42.2975,26.0,104.115,Shandong
99,2,珠海市,"('Zhuhai', 'Guangdong')",116.73,10.502,75.29487999999998,74702.92599999999,642.99,138143.8,49.4225,48.51,22.0,297.7999999999999,Guangdong
100,2,绥化市,"('Suihua', 'Heilongjiang')",539.3399999999998,-3.688,26.11644,43393.736,158.03,23895.4,26.1425,35.41,13.0,21.5,Heilongjiang
101,2,聊城市,"('Liaocheng', 'Shandong')",630.48,16.854000000000006,46.75152,54200.02,686.85,47318.0,50.375,38.21,14.0,56.735,Shandong
102,2,辽阳市,"('Liaoyang', 'Liaoning')",177.972,-1.944,17.065340000000006,55993.888,376.8,46964.2,50.99500000000001,40.66,9.0,48.58,Liaoning
103,2,通辽市,"('Tongliao', 'Inner Mongolia')",317.954,1.2040000000000002,27.6596,57060.128,49.69,56125.0,45.9175,38.38,5.0,31.8,Inner Mongolia
104,2,遂宁市,"('Suining', 'Sichuan')",374.43,-1.398,23.0843,56297.25800000001,713.235,31100.4,52.6275,32.004999999999995,15.0,29.975,Sichuan
105,2,邵阳市,"('Shaoyang', 'Hunan')",824.8739999999999,6.166,37.72166,52678.66,393.655,20793.4,36.37,43.3625,9.0,17.755000000000006,Hunan
106,2,鄂尔多斯市,"('Ordos', 'Inner Mongolia')",159.064,9.547999999999998,31.53122,76795.44,18.04,201072.25,55.7325,41.6775,15.0,142.92000000000004,Inner Mongolia
107,2,铁岭市,"('Tieling', 'Liaoning')",297.6760000000001,-5.6160000000000005,22.76504,45389.124,231.825,25725.2,34.4625,40.96250000000001,7.0,22.54,Liaoning
108,2,铜陵市,"('Tongling', 'Anhui')",132.12,4.31,17.04484,62602.91,615.235,71999.8,62.69,33.2725,7.0,98.9,Anhui
109,2,长治市,"('Changzhi', 'Shanxi')",340.9050786597195,5.031355175833253,47.249423234714676,57161.70173883085,295.7325017640717,45137.765175814435,45.5349955780604,47.728285886862324,13.361375957067672,62.673432394188616,Shanxi
110,2,阿坝藏族羌族自治州,"('Aba', 'Sichuan')",485.6007058823529,1.6333235294117647,58.520343529411775,59817.75764705881,519.3082352941177,40148.57647058824,52.17161764705883,33.918676470588224,10.117647058823529,36.18176470588235,Sichuan
111,2,陇南市,"('Longnan', 'Gansu')",277.99245679012347,6.377675925925927,32.788121152263386,60183.02681172839,154.6834792952675,35819.05446219136,38.79211033950617,47.877963927469146,10.839120370370372,33.284292052469134,Gansu
112,2,鞍山市,"('Anshan', 'Liaoning')",345.25,-1.926,48.83964,47997.685999999994,375.04,54223.0,43.7175,50.355,11.0,74.16499999999998,Liaoning
113,2,韶关市,"('Shaoguan', 'Guangdong')",333.06199999999995,11.803999999999998,33.15428000000001,61344.268,178.995,41217.2,37.0475,50.16,15.0,46.935,Guangdong
114,2,驻马店市,"('Zhumadian', 'Henan')",783.0254366098436,8.057273010392318,75.01496399486771,50246.329797863946,771.6287534182716,44775.91718924957,48.48635193437586,39.18247936899863,11.10249121536351,24.13446106381344,Henan
115,2,黄山市,"('Huangshan', 'Anhui')",148.078,3.8819999999999997,11.53384,61433.988,151.76,42167.0,39.9575,50.2125,14.0,60.065,Anhui
116,3,三亚市,"('Sanya', 'Hainan')",58.876000000000005,11.25,13.17654,66731.75,303.545,64710.4,20.3825,66.375,3.0,82.55000000000003,Hainan
117,3,乌鲁木齐市,"('Ürümqi', 'Xinjiang')",249.34599999999998,4.372,72.02188000000002,73310.07800000001,193.615,75917.0,31.4875,67.4425,4.0,86.96999999999998,Xinjiang
118,3,十堰市,"('Shiyan', 'Hubei')",502.5354250172839,7.763911086419752,81.37040485718519,49252.064890022215,521.5391169259259,55850.811711419745,48.39637659876543,39.090647324074084,31.198502469135803,56.82669669753086,Hubei
119,3,周口市,"('Zhoukou', 'Henan')",772.2207323838333,8.117357877751806,75.2961189278589,50604.12845105488,782.1510036461564,45832.45846853288,49.05744206333426,39.190811326931865,10.909323963054412,24.58875846806767,Henan
120,3,唐山市,"('Tangshan', 'Hebei')",802.9685838,7.2896804,63.11447582800001,56668.43665520001,569.8417694999999,41852.429141,46.24504425,41.51771425,15.0298,25.2143095,Hebei
121,3,庆阳市,"('Qingyang', 'Gansu')",277.99245679012347,6.377675925925927,32.78812115226338,60183.02681172841,154.6834792952675,35819.05446219136,38.79211033950617,47.877963927469146,10.839120370370372,33.284292052469134,Gansu
122,3,张家口市,"('Zhangjiakou', 'Hebei')",807.64224218,7.583048440000001,60.9079074108,56178.99832072,570.8519464499999,37819.392055100005,45.29854867499999,42.110985675,14.23278,24.636740449999998,Hebei
123,3,朔州市,"('Shuozhou', 'Shanxi')",341.1823096219106,5.095505750925837,47.70276803857186,57559.13015425649,301.558335293413,45670.51686201603,44.634161753400456,48.37920654095814,13.734862174519634,64.0299248824318,Shanxi
124,3,梧州市,"('Wuzhou', 'Guangxi')",346.444,13.9,19.51406,51949.254,271.795,36887.2,54.24,33.845,6.0,30.97,Guangxi
